area,year,f1units,f1change,f1value,f1valchange,f24units,f24change,f24value,f24valchange,f5units,f5change,f5value,f5valchange
"Anderson",1980,102,null,33800,null,36,null,15800,null,12,null,15900,null
"Anderson",1981,92,-9.8,37300,10.4,12,-66.7,18100,14.6,152,1166.7,18600,17
"Anderson",1982,77,-16.3,34200,-8.3,10,-16.7,21000,16,6,-96.1,21300,14.5
"Anderson",1983,65,-15.6,47800,39.8,38,280,25200,20,28,366.7,21200,-0.5
"Anderson",1984,79,21.5,42300,-11.5,8,-78.9,31600,25.4,285,917.9,22000,3.8
"Anderson",1985,69,-12.7,38700,-8.5,2,-75,37500,18.7,50,-82.5,22900,4.1
"Anderson",1986,39,-43.5,49400,27.6,12,500,13800,-63.2,40,-20,9000,-60.7
"Anderson",1987,34,-12.8,39200,-20.6,0,-100,0,-100,0,-100,0,-100
"Anderson",1988,36,5.9,43800,11.7,0,0,0,0,0,0,0,0
"Anderson",1989,27,-25,42300,-3.4,0,0,0,0,0,0,0,0
"Anderson",1990,10,-63,36400,-13.9,0,0,0,0,0,0,0,0
"Anderson",1991,10,0,79300,117.9,2,0,55900,0,0,0,0,0
"Anderson",1992,14,40,41900,-47.2,0,-100,0,-100,0,0,0,0
"Anderson",1993,25,78.6,60000,43.2,0,0,0,0,0,0,0,0
"Anderson",1994,27,8,64100,6.8,42,0,18600,0,0,0,0,0
"Anderson",1995,32,18.5,68200,6.4,2,-95.2,37200,100,0,0,0,0
"Anderson",1996,26,-18.8,77400,13.5,2,0,37200,0,0,0,0,0
"Anderson",1997,20,-23.1,64500,-16.7,0,-100,0,-100,0,0,0,0
"Anderson",1998,26,30,68500,6.2,0,0,0,0,0,0,0,0
"Anderson",1999,21,-19.2,87400,27.6,0,0,0,0,0,0,0,0
"Anderson",2000,34,61.9,93900,7.4,20,0,22300,0,14,0,28600,0
"Anderson",2001,24,-29.4,71500,-23.9,76,280,29600,32.7,0,-100,0,-100
"Anderson",2002,12,-50,78100,9.2,0,-100,0,-100,0,0,0,0
"Anderson",2003,24,100,59400,-23.9,0,0,0,0,0,0,0,0
"Anderson",2004,17,-29.2,180400,203.7,4,0,61000,0,0,0,0,0
"Anderson",2005,23,35.3,67700,-62.5,0,-100,0,-100,0,0,0,0
"Anderson",2006,18,-21.7,520000,668.1,0,0,0,0,76,0,60200,0
"Anderson",2007,214,1088.9,14500,-97.2,0,0,0,0,0,-100,0,-100
"Anderson",2008,23,-89.3,175100,1107.6,0,0,0,0,0,0,0,0
"Anderson",2009,13,-43.5,177500,1.4,0,0,0,0,0,0,0,0
"Anderson",2010,16,23.1,176900,-0.3,0,0,0,0,0,0,0,0
"Anderson",2011,13,-18.8,178600,1,0,0,0,0,0,0,0,0
"Anderson",2012,6,-53.8,119900,-32.9,0,0,0,0,0,0,0,0
